號次,名字,政黨,永功里_1_2_4_5_6,永功里_7_8_9_10_11,永功里_12_14_15_16,永功里_3_17_18_19_23,永功里_13_20_21_22_24,永昌里_1_2_3_4_5,永昌里_6_7_8_11,永昌里_9_10_12_13_20_21,永昌里_14_15_16_17_18_19,龍興里_1_2_3_4_5_6_12,龍興里_7_8_9_10,龍興里_11_13_14_15_16_17,忠勤里_1_2_3_4_5_6,忠勤里_7_8_9_10_11_12_13_14_15_16,忠勤里_17_18_19_20_21,忠勤里_22_23_24_25_26,忠勤里_27_28_29_30_31,廈安里_1_3_5,廈安里_2_4_6_8,廈安里_7_9_10_11,愛國里_1_2_3_4_5,愛國里_6_7_8_9_10_11,愛國里_12_13_14_15,南門里_1_2_3_4_5_6_7_8,南門里_9_10_11_12_13_14_15_16,龍光里_1_2_3_4_5_6,龍光里_7_8_9_10,龍光里_11_12_13_14,南福里_1_2_3,南福里_4_13_27_28,南福里_5_6_7_8_11,南福里_9_10,南福里_12_14_20_21,南福里_15_16_17_29,南福里_18_19_22_23,南福里_24_25_26,龍福里_1_2_3_4_21,龍福里_5_6_7_8_9,龍福里_10_11_12_13_14,龍福里_15_16_17_18_19_20,新營里_1_2_4_7,新營里_3_5_8_10,新營里_6_9_11_13_14,新營里_12_15_16_17_24,新營里_18_23_25_27,新營里_19_20_21_22_26,建國里_1_2_3_4_5_6,光復里_1_2_3_14,光復里_4_5_6_7_8,光復里_9_10_11_12_13,黎明里_1_2_3_4_12,黎明里_5_6_7_8,黎明里_9_10_11_13,梅花里_1_12_13_14_15,梅花里_2_3_4_5_6_7,梅花里_8_9_10_11,幸福里_1_2_6_7,幸福里_3_4_5,幸福里_8_9_10_11_12,幸福里_13_14_15_16_17_18_19,幸市里_1_8_17,幸市里_2_3_4_6,幸市里_5_7_12_13_14_15,幸市里_9_10_11_16,東門里_1_3_4_5,東門里_6_7_8_9,東門里_2_10_11_12_13_14_15_16,文北里_1_2_3_4_5_10,文北里_6_7_8_9_11_12,文北里_13_16_18_23_24_25_27,文北里_14_15_17_19_20_21_22_26,文祥里_1_2_3_4_5,文祥里_6_9_10_13,文祥里_7_11_14_17_23,文祥里_8_12_15_16,文祥里_18_19_20_21_22,三愛里_1_2_3_13_14,三愛里_4_5_6_20_21_22,三愛里_7_8_9_10_11_12,三愛里_15_16_17_18_19,三愛里_23_24_25,三愛里_26_27_28_29_30
1,鍾小平,中國國民黨,224,286,250,232,259,265,238,282,211,223,185,228,252,349,230,271,261,243,279,238,170,258,191,341,308,234,240,225,299,352,291,284,344,310,309,296,248,226,291,274,297,318,323,304,370,298,299,249,202,320,229,210,203,206,226,255,291,289,302,213,233,208,277,245,283,308,307,324,306,259,306,340,322,347,311,339,267,304,336,263,311,341
2,陳燕玉,無黨籍及未經政黨推薦,2,0,0,1,0,6,1,1,0,3,0,0,1,3,0,4,2,0,1,2,1,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,1,2,1,0,0,4,0,0,0,2,0,2,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1
3,許敬民,合一行動聯盟,0,1,2,1,0,2,0,1,0,0,0,0,2,0,2,0,2,1,1,2,1,1,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,0,1,2,0,2,0,1,0,0,0,3,0,1,0,1,0,0,0,1,3,0,0,0,1,1,0,0,0,0,0,1,0,1,1,4
4,林志成,無黨籍及未經政黨推薦,2,1,0,0,1,0,0,1,1,1,0,2,0,1,0,1,0,2,0,1,1,0,0,2,0,1,1,1,0,0,3,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,3,2,0,0,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,1,0,0,1,0,0,1,0,1
5,于美人,無黨籍及未經政黨推薦,132,142,139,189,175,180,142,185,126,164,153,154,132,188,190,190,222,230,195,205,144,165,150,148,172,125,130,123,168,194,213,186,224,135,194,165,180,141,151,151,189,195,188,177,152,178,253,166,138,175,135,152,139,136,114,109,193,144,115,148,102,124,136,99,137,152,143,158,168,119,158,175,211,193,148,188,190,172,148,170,170,162
6,蘇諍,經濟黨,2,3,1,1,1,6,3,4,0,1,0,2,0,3,3,5,4,2,3,3,1,0,2,3,0,2,1,3,1,0,4,5,3,2,2,2,3,0,1,0,4,3,2,2,4,2,2,1,2,4,1,2,2,3,2,3,3,2,5,0,0,3,4,2,2,3,1,2,0,1,3,1,4,1,3,1,2,0,0,0,1,2
7,吳沛憶,民主進步黨,281,311,298,302,325,325,285,232,248,287,282,229,169,227,229,253,320,316,326,333,276,219,240,273,236,249,203,215,279,272,321,287,346,270,338,251,317,195,286,329,317,273,291,290,214,225,330,301,231,281,146,208,231,249,215,296,317,230,273,274,260,333,271,224,287,235,246,313,328,291,357,397,328,402,288,355,275,342,321,332,292,357
8,孫智麗,無黨籍及未經政黨推薦,2,4,7,10,9,9,6,5,5,17,4,12,3,6,5,4,5,8,7,3,7,5,6,7,14,5,5,7,9,9,9,2,12,7,7,12,11,17,10,4,20,12,15,13,8,16,11,4,8,11,1,9,4,12,2,12,12,14,14,11,18,4,10,5,10,7,7,17,16,7,17,13,6,11,15,19,10,6,11,7,9,11
9,張華特,台灣麻將最大黨,2,7,2,4,6,4,4,2,5,3,2,3,3,4,4,3,3,1,4,4,1,5,1,3,1,1,1,0,0,2,1,3,6,4,2,3,5,1,3,2,3,5,2,4,4,1,7,2,4,3,3,4,1,1,4,0,4,4,0,4,3,2,4,5,2,2,6,2,3,2,1,1,4,5,3,3,5,0,2,1,2,3
10,李慧曦,司法改革黨,5,4,3,6,4,6,9,7,12,5,4,7,6,9,10,5,9,14,7,9,10,7,2,5,6,6,9,6,8,1,6,6,14,21,2,6,7,7,2,8,7,9,5,4,6,5,8,6,6,7,7,10,12,6,10,8,2,7,5,9,5,6,11,6,8,4,5,9,7,3,9,4,9,12,7,6,7,9,8,6,5,7
