號次,名字,政黨,永功里,永昌里,龍興里,忠勤里,廈安里,愛國里,南門里,龍光里,南福里,龍福里,新營里,建國里,光復里,黎明里,梅花里,幸福里,幸市里,東門里,文北里,文祥里,三愛里
1,鍾小平,中國國民黨,1251,996,636,1363,760,619,649,699,2485,1039,1910,299,771,642,687,1095,963,898,1195,1659,1822
2,陳燕玉,無黨籍及未經政黨推薦,3,8,3,10,3,2,0,2,2,5,1,2,1,2,2,3,4,4,2,2,3
3,許敬民,合一行動聯盟,4,3,0,6,4,2,0,2,4,0,5,1,3,2,1,4,1,4,1,1,7
4,林志成,無黨籍及未經政黨推薦,4,2,3,2,3,1,2,3,5,2,0,1,5,5,2,2,0,2,3,3,3
5,于美人,無黨籍及未經政黨推薦,777,633,471,922,630,459,320,378,1479,623,1079,253,479,426,359,600,461,432,603,915,1012
6,蘇諍,經濟黨,8,13,3,15,8,3,3,6,19,4,17,2,7,5,8,10,9,6,6,10,5
7,吳沛憶,民主進步黨,1517,1090,798,1198,975,735,509,667,2364,1127,1610,330,813,585,760,1094,1088,768,1289,1770,1919
8,孫智麗,無黨籍及未經政黨推薦,32,25,33,23,18,18,21,17,67,42,84,11,23,14,26,51,37,24,57,64,54
9,張華特,台灣麻將最大黨,21,15,8,17,9,7,4,2,21,11,19,7,9,8,5,12,14,10,8,16,13
10,李慧曦,司法改革黨,22,34,16,39,30,19,11,21,64,24,36,8,19,29,24,23,28,17,28,38,42
0,選舉人數,-,4982,3858,2675,5171,3322,2484,2069,2450,8657,3950,6408,1198,3001,2527,2583,4784,3610,2927,4439,6025,6771
