PPID,VILLNAME,NEIGHBORHOODS
1062,永功里,"1-2,4-6鄰"
1063,永功里,"7-11鄰"
1064,永功里,"12,14-16鄰"
1065,永功里,"3,17-19,23鄰"
1066,永功里,"13,20-22,24鄰"
1067,永昌里,"1-5鄰"
1068,永昌里,"6-8,11鄰"
1069,永昌里,"9-10,12-13,20-21鄰"
1070,永昌里,"14-19鄰"
1071,龍興里,"1-6、12鄰"
1072,龍興里,"7-10鄰"
1073,龍興里,"11、13-17鄰"
1074,忠勤里,"1-6鄰"
1075,忠勤里,"7-16鄰"
1076,忠勤里,"17-21鄰"
1077,忠勤里,"22-26鄰"
1078,忠勤里,"27-31鄰"
1079,廈安里,"1,3,5鄰"
1080,廈安里,"2,4,6,8鄰"
1081,廈安里,"7,9-11鄰"
1082,愛國里,"1-5鄰"
1083,愛國里,"6-11鄰"
1084,愛國里,"12-15鄰"
1085,南門里,"1-8鄰"
1086,南門里,"9-16鄰"
1087,龍光里,"1-6鄰"
1088,龍光里,"7-10鄰"
1089,龍光里,"11-14鄰"
1090,南福里,"1-3鄰"
1091,南福里,"4,13,27-28鄰"
1092,南福里,"5-8,11鄰"
1093,南福里,"9-10鄰"
1094,南福里,"12,14,20-21鄰"
1095,南福里,"15-17,29鄰"
1096,南福里,"18-19、22-23鄰"
1097,南福里,"24-26鄰"
1098,龍福里,"1-4,21鄰"
1099,龍福里,"5-9鄰"
1100,龍福里,"10-14鄰"
1101,龍福里,"15-20鄰"
1102,新營里,"1-2、4、7鄰"
1103,新營里,"3、5、8、10鄰"
1104,新營里,"6、9、11、13-14鄰"
1105,新營里,"12、15-17、24鄰"
1106,新營里,"18,23,25,27鄰"
1107,新營里,"19-22、26鄰"
1108,建國里,"1-6鄰"
1109,光復里,"1-3,14鄰"
1110,光復里,"4-8鄰"
1111,光復里,"9-13鄰"
1112,黎明里,"1-4,12鄰"
1113,黎明里,"5-8鄰"
1114,黎明里,"9-11、13鄰"
1115,梅花里,"1,12-15鄰"
1116,梅花里,"2-7鄰"
1117,梅花里,"8-11鄰"
1118,幸福里,"1-2,6-7鄰"
1119,幸福里,"3-5鄰"
1120,幸福里,"8-12鄰"
1121,幸福里,"13-19鄰"
1122,幸市里,"1、8、17鄰"
1123,幸市里,"2-4,6鄰"
1124,幸市里,"5、7、12-15鄰"
1125,幸市里,"9-11、16鄰"
1126,東門里,"1,3-5鄰"
1127,東門里,"6-9鄰"
1128,東門里,"2,10-16鄰"
1129,文北里,"1-5、10鄰"
1130,文北里,"6-9、 11-12鄰"
1131,文北里,"13,16,18,23-25,27鄰"
1132,文北里,"14-15、17、19-22、26鄰"
1133,文祥里,"1-5鄰"
1134,文祥里,"6,9-10,13鄰"
1135,文祥里,"7,11,14,17,23鄰"
1136,文祥里,"8,12,15-16鄰"
1137,文祥里,"18-22鄰"
1138,三愛里,"1-3,13-14鄰"
1139,三愛里,"4-6,20-22鄰"
1140,三愛里,"7-12鄰"
1141,三愛里,"15-19鄰"
1142,三愛里,"23-25鄰"
1143,三愛里,"26-30鄰"
1731,水源里,"1-2、4鄰"
1732,水源里,"3、5、7鄰"
1733,水源里,"6、8-10鄰"
1734,富水里,"1-5鄰"
1735,富水里,"6-12鄰"
1736,文盛里,"1-5鄰"
1737,文盛里,"6-10鄰"
1738,林興里,"1-3、19-20鄰"
1739,林興里,"4-6、15-16鄰"
1740,林興里,"7-14鄰"
1741,林興里,"17-18、 21鄰"
1742,河堤里,"1-4、13鄰"
1743,河堤里,"5-9鄰"
1744,河堤里,"10-12、14-15鄰"
1745,河堤里,"16-19鄰"
1746,頂東里,"1-4,23-24鄰"
1747,頂東里,"5,18-21鄰"
1748,頂東里,"6-10,16鄰"
1749,頂東里,"11-13鄰"
1750,頂東里,"14-15,17,22鄰"
1751,網溪里,"1-6鄰"
1752,網溪里,"7-11鄰"
1753,網溪里,"12-17鄰"
1754,網溪里,"18-24鄰"
1755,板溪里,"1-4鄰"
1756,板溪里,"5-9鄰"
1757,板溪里,"10-14鄰"
1758,螢圃里,"1、5、21-26鄰"
1759,螢圃里,"2-4,8,13,16鄰"
1760,螢圃里,"6-7、19-20鄰"
1761,螢圃里,"9-12,14-15,17-18鄰"
1762,螢雪里,"1-6鄰"
1763,螢雪里,"7-12鄰"
1764,螢雪里,"13-18鄰"
