PPID,VILLNAME,NEIGHBORHOODS
1338,西村里,"1-7鄰"
1339,西村里,"8-13鄰"
1340,西村里,"14-21鄰"
1341,西村里,"22-28鄰"
1342,正和里,"1-7,10-12鄰"
1343,正和里,"8,13-14,16-17,19-20,25鄰"
1344,正和里,"9,15,18,21-24鄰"
1345,興隆里,"1-7鄰"
1346,興隆里,"8-15鄰"
1347,中興里,"1-5鄰"
1348,中興里,"10-14鄰"
1349,中興里,"6-9鄰"
1350,新仁里,"1-6鄰"
1351,新仁里,"7-11鄰"
1352,新仁里,"12-22鄰"
1353,興雅里,"1-7鄰"
1354,興雅里,"8-13鄰"
1355,興雅里,"14-20鄰"
1356,興雅里,"21-28鄰"
1357,敦厚里,"1-4鄰"
1358,敦厚里,"5-11鄰"
1359,敦厚里,"12-18鄰"
1360,敦厚里,"19-22鄰"
1361,廣居里,"1-4鄰"
1362,廣居里,"5-10鄰"
1363,廣居里,"11-15鄰"
1364,廣居里,"16-20鄰"
1365,廣居里,"21-24鄰"
1366,廣居里,"25-29鄰"
1367,安康里,"1-5鄰"
1368,安康里,"6-10鄰"
1369,安康里,"11-15鄰"
1370,安康里,"16-20鄰"
1371,安康里,"21-26鄰"
1372,安康里,"27-28鄰"
1373,安康里,"29-33鄰"
1374,六藝里,"1-6鄰"
1375,六藝里,"7-10鄰"
1376,六藝里,"11-14鄰"
1377,雅祥里,"1-5鄰"
1378,雅祥里,"6-9鄰"
1379,雅祥里,"10-15鄰"
1380,雅祥里,"16-20鄰"
1381,五常里,"1-6鄰"
1382,五常里,"7-10鄰"
1383,五常里,"11-15鄰"
1384,五全里,"1-5鄰"
1385,五全里,"6-10鄰"
1386,五全里,"11,12,14,15鄰"
1387,五全里,"13,16-22鄰"
1388,永吉里,"1-4鄰"
1389,永吉里,"5-9鄰"
1390,永吉里,"10-17鄰"
1391,長春里,"11-15,18-20鄰"
1392,長春里,"6-9,16-17,21鄰"
1393,長春里,"1-5,10鄰"
1394,四育里,"6,7,14,15,17鄰"
1395,四育里,"3-5,16,19鄰"
1396,四育里,"11-13,18,20鄰"
1397,四育里,"1,2,8-10鄰"
1398,四維里,"1-4鄰"
1399,四維里,"5-10鄰"
1400,四維里,"11-14鄰"
1401,四維里,"15-20鄰"
1402,永春里,"1-5鄰"
1403,永春里,"6-10鄰"
1404,永春里,"11-16鄰"
1405,永春里,"17-22鄰"
1406,富台里,"5-8,14,16,18鄰"
1407,富台里,"1-4,9-12鄰"
1408,富台里,"13,15,17鄰"
1409,國業里,"19-23鄰"
1410,國業里,"24-28鄰"
1411,國業里,"1-3鄰"
1412,國業里,"4-7,9鄰"
1413,國業里,"8,10-13鄰"
1414,國業里,"14-18鄰"
1415,松隆里,"2-7鄰"
1416,松隆里,"1,8-12鄰"
1417,松友里,"2-5鄰"
1418,松友里,"6-9鄰"
1419,松友里,"10-12,1鄰"
1420,松友里,"13-16,19鄰"
1421,松友里,"17,18,20,21鄰"
1422,松光里,"2-7鄰"
1423,松光里,"11-16鄰"
1424,松光里,"17-21鄰"
1425,松光里,"1,8,9,10,22,23鄰"
1426,中坡里,"1-4鄰"
1427,中坡里,"5-8鄰"
1428,中坡里,"9-12鄰"
1429,中坡里,"13-16鄰"
1430,中行里,"1-5鄰"
1431,中行里,"6-10鄰"
1432,中行里,"11-17鄰"
1433,中行里,"18-23鄰"
1434,中行里,"24-28鄰"
1435,中行里,"29-32鄰"
1436,大道里,"1-4鄰"
1437,大道里,"5-9鄰"
1438,大道里,"10-13鄰"
1439,大道里,"14-17鄰"
1440,大道里,"18-22鄰"
1441,大仁里,"1-6,27鄰"
1442,大仁里,"7-14鄰"
1443,大仁里,"15-20,28鄰"
1444,大仁里,"23-26鄰"
1445,大仁里,"21-22鄰"
1446,景新里,"1-6鄰"
1447,景新里,"7-10鄰"
1448,景新里,"11-15鄰"
1449,景新里,"16-20鄰"
1450,惠安里,"1-5鄰"
1451,惠安里,"6-10鄰"
1452,惠安里,"11-14,24-25鄰"
1453,惠安里,"18-23鄰"
1454,惠安里,"15-17,26-28鄰"
1455,三張里,"8-14鄰"
1456,三張里,"16-21鄰"
1457,三張里,"22-24,34鄰"
1458,三張里,"25-29鄰"
1459,三張里,"2,3,6,30-31鄰"
1460,三張里,"32-33,35-36鄰"
1461,三張里,"1,4,5,7,15鄰"
1462,三犁里,"1-6,21-23鄰"
1463,三犁里,"7-12鄰"
1464,三犁里,"13-16鄰"
1465,三犁里,"17-20鄰"
1466,六合里,"1-6鄰"
1467,六合里,"7-12鄰"
1468,六合里,"13-17鄰"
1469,六合里,"18-24,35鄰"
1470,六合里,"25-34鄰"
1471,泰和里,"1-6鄰"
1472,泰和里,"7-12鄰"
1473,泰和里,"13-18鄰"
1474,泰和里,"19-22鄰"
1475,泰和里,"23-25鄰"
1476,泰和里,"26-29鄰"
1477,景聯里,"1-6鄰"
1478,景聯里,"20-26鄰"
1479,景聯里,"13-19鄰"
1480,景聯里,"7-12鄰"
1481,景勤里,"1-5鄰"
1482,景勤里,"6-11鄰"
1483,景勤里,"12-16鄰"
1484,雙和里,"5-7,11,18鄰"
1485,雙和里,"12-17鄰"
1486,雙和里,"8-10,24鄰"
1487,雙和里,"4,20-23鄰"
1488,雙和里,"1-3,19鄰"
1489,嘉興里,"1-5鄰"
1490,嘉興里,"6-11鄰"
1491,嘉興里,"12-17鄰"
1492,黎順里,"1-8鄰"
1493,黎順里,"9-14鄰"
1494,黎順里,"15-20鄰"
1495,黎平里,"1-4鄰"
1496,黎平里,"5,6,10-12鄰"
1497,黎平里,"8,9,15,16鄰"
1498,黎平里,"7,14,17,18,21,24鄰"
1499,黎平里,"13,19,20,22,23鄰"
1500,黎忠里,"1-5鄰"
1501,黎忠里,"6-10鄰"
1502,黎忠里,"11-15鄰"
1503,黎忠里,"16-19鄰"
1504,黎安里,"1-2,7-11鄰"
1505,黎安里,"3-6鄰"
