PPID,VILLNAME,NEIGHBORHOODS
0681,西湖里,"1-6鄰"
0682,西湖里,"7-12鄰"
0683,西湖里,"13-19鄰"
0684,西湖里,"20-26鄰"
0685,西湖里,"27-33鄰"
0686,西康里,"1-2,4-5,27鄰"
0687,西康里,"7-11鄰"
0688,西康里,"6,14,18鄰"
0689,西康里,"3,12-13,15-16鄰"
0690,西康里,"17,19,25-26鄰"
0691,西康里,"20-24鄰"
0692,西安里,"1-9鄰"
0693,西安里,"10-14鄰"
0694,西安里,"15-19鄰"
0695,西安里,"20-23鄰"
0696,港墘里,"1-4,19,22鄰"
0697,港墘里,"7-11鄰"
0698,港墘里,"15-18,21鄰"
0699,港墘里,"5-6,12-14,20鄰"
0700,港都里,"1-5鄰"
0701,港都里,"6-9,14鄰"
0702,港都里,"10-13鄰"
0703,港富里,"1-5鄰"
0704,港富里,"6-10鄰"
0705,港富里,"12-16鄰"
0706,港富里,"11,17-20鄰"
0707,港富里,"21-25鄰"
0708,港富里,"26-30鄰"
0709,港華里,"9,17,19-22鄰"
0710,港華里,"1-2,10-12鄰"
0711,港華里,"5-8鄰"
0712,港華里,"3,14-16,18鄰"
0713,港華里,"4,13,23-25鄰"
0714,內湖里,"1-5,7鄰"
0715,內湖里,"6,8,10,19,23鄰"
0716,內湖里,"9,11,15,18,20-21鄰"
0717,內湖里,"12-14,16-17,22,24-25鄰"
0718,湖濱里,"27-29,32-34鄰"
0719,湖濱里,"1-6鄰"
0720,湖濱里,"9,21-26,30-31鄰"
0721,湖濱里,"10-14,19-20鄰"
0722,湖濱里,"7-8,15-18鄰"
0723,紫星里,"1,3,9,13-17鄰"
0724,紫星里,"2,4,6-7,12,18-19鄰"
0725,紫星里,"20-22,24-27,35鄰"
0726,紫星里,"28-34鄰"
0727,紫星里,"5,8,10-11,23,36-39鄰"
0728,大湖里,"7-13鄰"
0729,大湖里,"14-22鄰"
0730,大湖里,"1-6,23-25鄰"
0731,金龍里,"1-7鄰"
0732,金龍里,"8-14鄰"
0733,金龍里,"15-23鄰"
0734,金瑞里,"1-6鄰"
0735,金瑞里,"7-9,23-24鄰"
0736,金瑞里,"10-15,22鄰"
0737,金瑞里,"16-21鄰"
0738,碧山里,"1-3鄰"
0739,碧山里,"4-8,10鄰"
0740,碧山里,"9,11-14鄰"
0741,碧山里,"15-19鄰"
0742,碧山里,"20-24鄰"
0743,紫雲里,"1-2,4,7,13,19鄰"
0744,紫雲里,"10,14,17-18鄰"
0745,紫雲里,"8-9,11-12,15-16,23鄰"
0746,紫雲里,"3,5-6,20-22鄰"
0747,清白里,"2-4,6-8,31鄰"
0748,清白里,"5,9-10,13,25,30鄰"
0749,清白里,"24,26-29,32鄰"
0750,清白里,"15-20,22鄰"
0751,清白里,"1,11-12,14,21,23鄰"
0752,葫洲里,"1-4,8鄰"
0753,葫洲里,"5-7,9-11鄰"
0754,葫洲里,"12-15鄰"
0755,葫洲里,"16-20鄰"
0756,紫陽里,"2,11,13,18鄰"
0757,紫陽里,"1,12,14-15鄰"
0758,紫陽里,"3,9,16-17鄰"
0759,紫陽里,"4,6-8,10,22鄰"
0760,紫陽里,"5,19-21鄰"
0761,瑞陽里,"2-4,7,12,15,22鄰"
0762,瑞陽里,"18-19,25-28鄰"
0763,瑞陽里,"6,8-10鄰"
0764,瑞陽里,"11,16-17,20-21,23鄰"
0765,瑞陽里,"1,5,13-14,24鄰"
0766,瑞光里,"1-7鄰"
0767,瑞光里,"8-13鄰"
0768,瑞光里,"14-20鄰"
0769,五分里,"1-2,19,26-29鄰"
0770,五分里,"20-21,23-25,32鄰"
0771,五分里,"14-18,31鄰"
0772,五分里,"4-6,10,30,34鄰"
0773,五分里,"7,9,22,33鄰"
0774,五分里,"3,8,11-13鄰"
0775,東湖里,"1-4鄰"
0776,東湖里,"5-8鄰"
0777,東湖里,"9-12鄰"
0778,東湖里,"13-16鄰"
0779,東湖里,"17-20鄰"
0780,樂康里,"1-4,26鄰"
0781,樂康里,"5-8鄰"
0782,樂康里,"9-13鄰"
0783,樂康里,"14-20鄰"
0784,樂康里,"21-25鄰"
0785,內溝里,"12-15鄰"
0786,內溝里,"6,8,16鄰"
0787,內溝里,"1,11,17鄰"
0788,內溝里,"2-5,7,9-10鄰"
0789,週美里,"1-4鄰"
0790,週美里,"5-10鄰"
0791,週美里,"11-16鄰"
0792,週美里,"17-23鄰"
0793,週美里,"24-30鄰"
0794,行善里,"1-6鄰"
0795,行善里,"7-13鄰"
0796,行善里,"14-17鄰"
0797,行善里,"18-22鄰"
0798,石潭里,"12,14-20鄰"
0799,石潭里,"1-10鄰"
0800,石潭里,"11,13鄰"
0801,湖興里,"1-4,22-25鄰"
0802,湖興里,"5-11鄰"
0803,湖興里,"12-15鄰"
0804,湖興里,"16-21鄰"
0805,湖元里,"1-9鄰"
0806,湖元里,"10-17,19鄰"
0807,湖元里,"18,20鄰"
0808,安湖里,"1-3鄰"
0809,安湖里,"4-7鄰"
0810,安湖里,"8-11鄰"
0811,安湖里,"12-16鄰"
0812,安湖里,"17-20鄰"
0813,秀湖里,"2-6,9,20,25鄰"
0814,秀湖里,"8,10-12,15-16,22鄰"
0815,秀湖里,"13-14,17,19,24鄰"
0816,秀湖里,"1,7,18,21,23鄰"
0817,安泰里,"1-4,15鄰"
0818,安泰里,"5-9鄰"
0819,安泰里,"10-14鄰"
0820,金湖里,"1-5鄰"
0821,金湖里,"6-9,20鄰"
0822,金湖里,"10-13,19鄰"
0823,金湖里,"14-17鄰"
0824,金湖里,"18,21-26鄰"
0825,康寧里,"1-4,14鄰"
0826,康寧里,"5-6,15-16,23鄰"
0827,康寧里,"7-8,10-11鄰"
0828,康寧里,"12,17-18,22鄰"
