PPID,VILLNAME,NEIGHBORHOODS
0846,南港里,"2-7鄰"
0847,南港里,"1,14,15,17-20鄰"
0848,南港里,"8-13鄰"
0849,南港里,"16,21-23鄰"
0850,中南里,"1-10鄰"
0851,中南里,"11-17鄰"
0852,中南里,"18-24鄰"
0853,三重里,"1-6,29鄰"
0854,三重里,"7-10,26-28鄰"
0855,三重里,"11-13,15-18,30,34鄰"
0856,三重里,"19-22,24,25鄰"
0857,三重里,"14,23,31-33,35鄰"
0858,新富里,"1-5鄰"
0859,新富里,"6-11鄰"
0860,新富里,"12-17鄰"
0861,中研里,"1-7鄰"
0862,中研里,"8-12鄰"
0863,中研里,"23-28鄰"
0864,中研里,"29-35鄰"
0865,中研里,"13,14,17-19鄰"
0866,中研里,"15,16,20-22鄰"
0867,九如里,"1-6鄰"
0868,九如里,"7,12-17鄰"
0869,九如里,"8-11,25-28鄰"
0870,九如里,"18-24鄰"
0871,舊莊里,"4-7,12鄰"
0872,舊莊里,"22,28-35鄰"
0873,舊莊里,"3,14,16,21鄰"
0874,舊莊里,"1,8,23-26鄰"
0875,舊莊里,"2,13,15,17-20鄰"
0876,舊莊里,"9-11,27,36鄰"
0877,東新里,"1-5鄰"
0878,東新里,"6-9鄰"
0879,東新里,"11-13,15鄰"
0880,東新里,"14,16-18,23鄰"
0881,東新里,"10,19-22鄰"
0882,重陽里,"2,3,6,7,9鄰"
0883,重陽里,"1,4,5,11鄰"
0884,重陽里,"8,14鄰"
0885,重陽里,"10,12,13鄰"
0886,東明里,"1,3-5鄰"
0887,東明里,"2,6-9鄰"
0888,東明里,"10-12,17鄰"
0889,東明里,"13-16鄰"
0890,西新里,"1-5,17鄰"
0891,西新里,"6-9,12鄰"
0892,西新里,"10,11,13-16鄰"
0893,玉成里,"1-3,6-8,11-13鄰"
0894,玉成里,"9,10,17-21鄰"
0895,玉成里,"4,5,14-16鄰"
0896,合成里,"1,2,10-14鄰"
0897,合成里,"3,4,25,26鄰"
0898,合成里,"5-9鄰"
0899,合成里,"15-20鄰"
0900,合成里,"21-24鄰"
0901,新光里,"1-6鄰"
0902,新光里,"7-12鄰"
0903,新光里,"13-18鄰"
0904,聯成里,"1-6鄰"
0905,聯成里,"7-12鄰"
0906,聯成里,"13-19鄰"
0907,萬福里,"3,4,9-11,17鄰"
0908,萬福里,"5-8,18,19鄰"
0909,萬福里,"1,2,12-16鄰"
0910,鴻福里,"1-3,5-7鄰"
0911,鴻福里,"8,13-15,17鄰"
0912,鴻福里,"4,9-12,16鄰"
0913,百福里,"2-6,21,22鄰"
0914,百福里,"13-20鄰"
0915,百福里,"1,7-12鄰"
0916,成福里,"3-6,15,27鄰"
0917,成福里,"21-26,30鄰"
0918,成福里,"16-20鄰"
0919,成福里,"7-11,31鄰"
0920,成福里,"1,2,12-14鄰"
0921,仁福里,"1-4鄰"
0922,仁福里,"6-8鄰"
0923,仁福里,"9-12鄰"
0924,仁福里,"5,13-15鄰"
