PPID,VILLNAME,NEIGHBORHOODS
1144,德安里,"15-20鄰"
1145,德安里,"7,11-14鄰"
1146,德安里,"3-4,8-10鄰"
1147,德安里,"1-2,5-6鄰"
1148,仁慈里,"1-6鄰"
1149,仁慈里,"7-11鄰"
1150,仁慈里,"12-17鄰"
1151,和安里,"1,3-6,10-12鄰"
1152,和安里,"14-18鄰"
1153,和安里,"2,7-8,13鄰"
1154,和安里,"9,19-21鄰"
1155,民炤里,"2-5鄰"
1156,民炤里,"6-9鄰"
1157,民炤里,"10-14鄰"
1158,民炤里,"15-20鄰"
1159,民炤里,"1,21-24鄰"
1160,仁愛里,"1-6鄰"
1161,仁愛里,"7-11鄰"
1162,仁愛里,"12-17鄰"
1163,仁愛里,"18-23鄰"
1164,義村里,"1-6鄰"
1165,義村里,"13-17鄰"
1166,義村里,"7-12鄰"
1167,義村里,"18-22鄰"
1168,民輝里,"1-5鄰"
1169,民輝里,"6-12鄰"
1170,民輝里,"13-18鄰"
1171,民輝里,"19-24鄰"
1172,昌隆里,"1-7,15鄰"
1173,昌隆里,"8-14鄰"
1174,誠安里,"7-11鄰"
1175,誠安里,"1-6鄰"
1176,誠安里,"12-17鄰"
1177,光武里,"1-6鄰"
1178,光武里,"7-14鄰"
1179,光武里,"15-19鄰"
1180,光武里,"20-23,25鄰"
1181,光武里,"24,26-28鄰"
1182,龍坡里,"1-5鄰"
1183,龍坡里,"6-10鄰"
1184,龍坡里,"11-17鄰"
1185,龍坡里,"18-22鄰"
1186,龍泉里,"1-5鄰"
1187,龍泉里,"6-10鄰"
1188,龍泉里,"11-15鄰"
1189,古風里,"1-6鄰"
1190,古風里,"7-11鄰"
1191,古風里,"12-14鄰"
1192,古莊里,"1-3,15鄰"
1193,古莊里,"4,6,13鄰"
1194,古莊里,"5,7-9鄰"
1195,古莊里,"11-12,18鄰"
1196,古莊里,"10,14,16-17鄰"
1197,龍安里,"1-2鄰"
1198,龍安里,"3-7鄰"
1199,龍安里,"8-12鄰"
1200,龍安里,"13-17鄰"
1201,錦安里,"1-2,5-6鄰"
1202,錦安里,"4,7-9,18鄰"
1203,錦安里,"3,13-14,16-17鄰"
1204,錦安里,"10-12,15鄰"
1205,福住里,"1-4鄰"
1206,福住里,"5-8鄰"
1207,福住里,"9-12鄰"
1208,福住里,"13-17鄰"
1209,永康里,"1,3,9鄰"
1210,永康里,"2,7-8,10鄰"
1211,永康里,"4-6鄰"
1212,光明里,"1-6鄰"
1213,光明里,"7-11鄰"
1214,錦泰里,"1-9鄰"
1215,錦泰里,"10-15鄰"
1216,錦華里,"5,7-9,16鄰"
1217,錦華里,"6,10-11,19鄰"
1218,錦華里,"13-15,17鄰"
1219,錦華里,"1-4,12,18鄰"
1220,龍圖里,"1-5鄰"
1221,龍圖里,"6-10鄰"
1222,龍圖里,"11-14鄰"
1223,龍圖里,"15-20鄰"
1224,新龍里,"1,3-4,10,20鄰"
1225,新龍里,"11-14,21-24鄰"
1226,新龍里,"15-19,25-26鄰"
1227,新龍里,"2,5-9鄰"
1228,龍陣里,"1-8鄰"
1229,龍陣里,"9-15鄰"
1230,龍雲里,"1-3,5-7鄰"
1231,龍雲里,"4,8-13鄰"
1232,龍雲里,"14-19鄰"
1233,龍生里,"1-5鄰"
1234,龍生里,"6-10,12鄰"
1235,龍生里,"13-16鄰"
1236,龍生里,"11,17-20鄰"
1237,住安里,"1-4,7-9鄰"
1238,住安里,"5,10-15鄰"
1239,住安里,"6,16-20鄰"
1240,義安里,"1-2,4-6,9鄰"
1241,義安里,"7-8,10-11,16鄰"
1242,義安里,"12-15,18鄰"
1243,義安里,"3,17,19-20鄰"
1244,通化里,"1-3,6-8鄰"
1245,通化里,"4,9,11-12,15,23鄰"
1246,通化里,"5,10,14,16,20-21鄰"
1247,通化里,"13,17-19,22鄰"
1248,通安里,"5,7-10鄰"
1249,通安里,"11-15鄰"
1250,通安里,"1-4,6鄰"
1251,通安里,"16-20鄰"
1252,臨江里,"1-5鄰"
1253,臨江里,"6-10鄰"
1254,臨江里,"11-15鄰"
1255,法治里,"1-2,8鄰"
1256,法治里,"3-7鄰"
1257,法治里,"9-12鄰"
1258,全安里,"1-3,5-6鄰"
1259,全安里,"7-12鄰"
1260,全安里,"4,13-17鄰"
1261,群賢里,"2-6鄰"
1262,群賢里,"1,7-10鄰"
1263,群賢里,"11-14,16鄰"
1264,群賢里,"15,17-20鄰"
1265,群英里,"1-6鄰"
1266,群英里,"7-12鄰"
1267,群英里,"13-19鄰"
1268,群英里,"20-27鄰"
1269,群英里,"28-35鄰"
1270,虎嘯里,"1-4,6鄰"
1271,虎嘯里,"5,7-9鄰"
1272,虎嘯里,"10-12鄰"
1273,臥龍里,"1-2,7-8鄰"
1274,臥龍里,"3-6鄰"
1275,龍淵里,"1-6鄰"
1276,龍淵里,"7-11鄰"
1277,龍淵里,"12-16鄰"
1278,龍淵里,"17-22鄰"
1279,龍淵里,"23-27鄰"
1280,龍淵里,"28-31鄰"
1281,龍門里,"1-5鄰"
1282,龍門里,"7-10鄰"
1283,龍門里,"6,11-13鄰"
1284,大學里,"1-2,4,7鄰"
1285,大學里,"3,5,11,24鄰"
1286,大學里,"8-10,22-23鄰"
1287,大學里,"12-14,20-21鄰"
1288,大學里,"6,15-19鄰"
1289,芳和里,"1-4,10鄰"
1290,芳和里,"5-8,11-12鄰"
1291,芳和里,"9,13-16鄰"
1292,芳和里,"17-21鄰"
1293,黎元里,"1-5鄰"
1294,黎元里,"6-10鄰"
1295,黎元里,"11-14鄰"
1296,黎元里,"15-19鄰"
1297,黎孝里,"1-5鄰"
1298,黎孝里,"19-24鄰"
1299,黎孝里,"12-15鄰"
1300,黎孝里,"9-11,16,18鄰"
1301,黎孝里,"6-8,17鄰"
1302,黎和里,"1,3-4,6,10,12,16鄰"
1303,黎和里,"2,5,9,11,15鄰"
1304,黎和里,"7-8,13-14鄰"
1305,建安里,"1-6鄰"
1306,建安里,"7-13鄰"
1307,建安里,"14-20鄰"
1308,建倫里,"1-5鄰"
1309,建倫里,"6-12鄰"
1310,建倫里,"13-18鄰"
1311,建倫里,"19-24鄰"
1312,敦安里,"1-5,11鄰"
1313,敦安里,"6-7,9-10,12鄰"
1314,敦安里,"8,13-14,19-20鄰"
1315,敦安里,"15-18,21鄰"
1316,正聲里,"1-5,11鄰"
1317,正聲里,"6-10,16鄰"
1318,正聲里,"12-15鄰"
1319,敦煌里,"1-4,7鄰"
1320,敦煌里,"6,8-11,16鄰"
1321,敦煌里,"12-15,21鄰"
1322,敦煌里,"5,17-20鄰"
1323,華聲里,"1-6,11鄰"
1324,華聲里,"7-10,12鄰"
1325,華聲里,"13-18鄰"
1326,車層里,"1-6鄰"
1327,車層里,"7-12鄰"
1328,車層里,"13-19鄰"
1329,車層里,"20-26鄰"
1330,光信里,"1-3,9-10,18鄰"
1331,光信里,"4-5,12-15鄰"
1332,光信里,"11,19-25鄰"
1333,光信里,"6,16,27-28鄰"
1334,光信里,"7-8,17,26,29-30鄰"
1335,學府里,"1-5鄰"
1336,學府里,"6-9,15鄰"
1337,學府里,"10-14,16-17鄰"
