PPID,VILLNAME,NEIGHBORHOODS
1556,景行里,"1-3,9鄰"
1557,景行里,"4-8、11鄰"
1558,景行里,"10、12-16鄰"
1559,景行里,"17、22-23鄰"
1560,景行里,"18-21鄰"
1561,景東里,"1-4、24-25鄰"
1562,景東里,"5-11、13鄰"
1563,景東里,"12、14-18鄰"
1564,景東里,"19-23、26鄰"
1565,景美里,"1-5、10鄰"
1566,景美里,"6-9、11鄰"
1567,景美里,"12-17鄰"
1568,景慶里,"1-7鄰"
1569,景慶里,"8-13鄰"
1570,景慶里,"14-19鄰"
1571,景慶里,"20-26鄰"
1572,景仁里,"1-5鄰"
1573,景仁里,"6-9鄰"
1574,景仁里,"10-13鄰"
1575,景仁里,"14-19鄰"
1576,景華里,"1-5鄰"
1577,景華里,"6-7、9-12鄰"
1578,景華里,"8、13-17鄰"
1579,景華里,"18-24鄰"
1580,萬有里,"1-6鄰"
1581,萬有里,"7-13鄰"
1582,萬有里,"14-18鄰"
1583,萬有里,"19-23鄰"
1584,萬祥里,"1-6鄰"
1585,萬祥里,"7-14鄰"
1586,萬祥里,"15-21鄰"
1587,萬隆里,"1-5鄰"
1588,萬隆里,"6-11鄰"
1589,萬隆里,"12-16鄰"
1590,萬隆里,"17-22鄰"
1591,萬隆里,"23-29鄰"
1592,萬年里,"1-4、15鄰"
1593,萬年里,"5-8鄰"
1594,萬年里,"9-12、18鄰"
1595,萬年里,"13-14、16-17、19-20鄰"
1596,萬和里,"1-7鄰"
1597,萬和里,"8-14鄰"
1598,萬盛里,"1-7鄰"
1599,萬盛里,"8-15鄰"
1600,萬盛里,"16-22鄰"
1601,興豐里,"1-7鄰"
1602,興豐里,"8-14鄰"
1603,興豐里,"15-20鄰"
1604,興邦里,"1-6鄰"
1605,興邦里,"7-11、18鄰"
1606,興邦里,"12-17鄰"
1607,興光里,"1-6鄰"
1608,興光里,"7-11鄰"
1609,興光里,"12-17鄰"
1610,興家里,"1-3、12-13、25-26鄰"
1611,興家里,"4-6、8-10鄰"
1612,興家里,"7、14、27-30鄰"
1613,興家里,"11、15-20鄰"
1614,興家里,"21-24鄰"
1615,興得里,"1-8鄰"
1616,興得里,"9-16鄰"
1617,興得里,"17、19、21-25鄰"
1618,興得里,"18、20、26-27鄰"
1619,興業里,"1-6鄰"
1620,興業里,"7-11鄰"
1621,興業里,"12-17鄰"
1622,興業里,"18-23鄰"
1623,興安里,"2-3,21-23鄰"
1624,興安里,"4-11,16鄰"
1625,興安里,"1,19-20,24-26鄰"
1626,興安里,"12-15,17-18,27-29鄰"
1627,興福里,"1-5鄰"
1628,興福里,"6-12鄰"
1629,興福里,"13-17鄰"
1630,興福里,"18-23鄰"
1631,興旺里,"1-5鄰"
1632,興旺里,"6-10鄰"
1633,興旺里,"11-14、18鄰"
1634,興旺里,"15-17鄰"
1635,興旺里,"20-22鄰"
1636,興旺里,"19、23-24鄰"
1637,興泰里,"1-4鄰"
1638,興泰里,"5-7鄰"
1639,興泰里,"8-13鄰"
1640,興昌里,"1-4、20-21鄰"
1641,興昌里,"5、17-19、22-25鄰"
1642,興昌里,"6-9鄰"
1643,興昌里,"10-16鄰"
1644,試院里,"1-6鄰"
1645,試院里,"7-9、13、29-30鄰"
1646,試院里,"10-12、14鄰"
1647,試院里,"15-21鄰"
1648,試院里,"22-28鄰"
1649,華興里,"7-8、15、18-21鄰"
1650,華興里,"22-26鄰"
1651,華興里,"27-30、33鄰"
1652,華興里,"1-5鄰"
1653,華興里,"6、16-17、31-32鄰"
1654,華興里,"9-14鄰"
1655,明義里,"2、4、7-8、13、22鄰"
1656,明義里,"19-21,23-25鄰"
1657,明義里,"1,3,5-6,9-12,14-18鄰"
1658,明興里,"1-7,10-11鄰"
1659,明興里,"8,12-19鄰"
1660,明興里,"9、20、22、24、27、32鄰"
1661,明興里,"21,23,25-26,28-31鄰"
1662,木柵里,"1-5鄰"
