PPID,VILLNAME,NEIGHBORHOODS
0597,莊敬里,"1-6鄰"
0598,莊敬里,"7-11鄰"
0599,莊敬里,"12-17鄰"
0600,莊敬里,"18-28鄰"
0601,東榮里,"1-2,7-10鄰"
0602,東榮里,"3-6,11-13鄰"
0603,東榮里,"14-15,23-25,27鄰"
0604,東榮里,"16-21鄰"
0605,東榮里,"22,26,28-33鄰"
0606,三民里,"1-8鄰"
0607,三民里,"9-14鄰"
0608,三民里,"15-20鄰"
0609,三民里,"21-26鄰"
0610,三民里,"27-32鄰"
0611,新益里,"1-7鄰"
0612,新益里,"8-12鄰"
0613,新益里,"13-18鄰"
0614,富錦里,"1-2,9-13鄰"
0615,富錦里,"3,5-8鄰"
0616,富錦里,"4,20-23鄰"
0617,富錦里,"14-19鄰"
0618,新東里,"1,16-19鄰"
0619,新東里,"2-6鄰"
0620,新東里,"7-10鄰"
0621,新東里,"11-15鄰"
0622,富泰里,"1-5,9鄰"
0623,富泰里,"6-8,16-20鄰"
0624,富泰里,"10-15鄰"
0625,介壽里,"1-8鄰"
0626,介壽里,"9-15鄰"
0627,介壽里,"16-21鄰"
0628,精忠里,"1-5鄰"
0629,精忠里,"6-10鄰"
0630,精忠里,"11-16鄰"
0631,東光里,"1-5,11鄰"
0632,東光里,"6-10,33鄰"
0633,東光里,"12-16鄰"
0634,東光里,"17-22鄰"
0635,東光里,"23-26,31鄰"
0636,東光里,"27-30,32鄰"
0637,龍田里,"1-2,37-39鄰"
0638,龍田里,"3-10鄰"
0639,龍田里,"11-15鄰"
0640,龍田里,"32-36鄰"
0641,龍田里,"16-20鄰"
0642,龍田里,"21-26鄰"
0643,龍田里,"27-31鄰"
0644,東昌里,"1-6鄰"
0645,東昌里,"7-12鄰"
0646,東勢里,"1-5,15鄰"
0647,東勢里,"6-7,16-18鄰"
0648,東勢里,"8-14鄰"
0649,中華里,"1-6,21-22鄰"
0650,中華里,"7,17-19,23-24鄰"
0651,中華里,"8-10,20,25鄰"
0652,中華里,"11-16鄰"
0653,民有里,"1-4,12鄰"
0654,民有里,"5-9鄰"
0655,民有里,"10-11,13-14鄰"
0656,民有里,"15-21鄰"
0657,民有里,"22-27鄰"
0658,民有里,"28-32鄰"
0659,民福里,"1-7,19鄰"
0660,民福里,"8-14鄰"
0661,民福里,"15-18,20,26鄰"
0662,民福里,"21-25,27鄰"
0663,松基里,"1-6鄰"
0664,松基里,"8-12鄰"
0665,松基里,"7,13-16鄰"
0666,安平里,"1-4,10,12-13鄰"
0667,安平里,"5-7,11,22,33鄰"
0668,安平里,"14-15,23-27鄰"
0669,安平里,"8,28-32鄰"
0670,安平里,"9,16-21鄰"
0671,鵬程里,"1,7-8,15-20鄰"
0672,鵬程里,"2-6鄰"
0673,鵬程里,"9-11鄰"
0674,鵬程里,"12-14鄰"
0675,自強里,"1-3,26-28鄰"
0676,自強里,"4-6鄰"
0677,自強里,"7-12鄰"
0678,自強里,"13-15鄰"
0679,自強里,"16-20鄰"
0680,自強里,"21-25鄰"
1506,慈祐里,"1-5鄰"
1507,慈祐里,"6-9,17鄰"
1508,慈祐里,"10,15-16,22鄰"
1509,慈祐里,"11-14鄰"
1510,慈祐里,"18-21鄰"
1511,吉祥里,"1-4鄰"
1512,吉祥里,"5-8,12鄰"
1513,吉祥里,"9-10,13-15鄰"
1514,吉祥里,"11,17-18鄰"
1515,吉祥里,"16,19-20,22,27鄰"
1516,吉祥里,"21,23-26鄰"
1517,新聚里,"1,3-8鄰"
1518,新聚里,"9,13-16,19鄰"
1519,新聚里,"18,20,24-26鄰"
1520,新聚里,"2,11,17,27-30鄰"
1521,新聚里,"10,12,21-23鄰"
1522,復盛里,"1-6鄰"
1523,復盛里,"7-14鄰"
1524,復盛里,"15-21鄰"
1525,復盛里,"22-26鄰"
1526,中正里,"1-4鄰"
1527,中正里,"5-11鄰"
1528,中正里,"12-18鄰"
1529,中正里,"19-23鄰"
1530,中正里,"24-28鄰"
1531,中正里,"29-34鄰"
1532,中崙里,"1,5-8鄰"
1533,中崙里,"9-11,13-15鄰"
1534,中崙里,"2-4,12,16-18鄰"
1535,美仁里,"1-4鄰"
1536,美仁里,"5-6,10鄰"
1537,美仁里,"7-9,11鄰"
1538,吉仁里,"1-5,16鄰"
1539,吉仁里,"6-10鄰"
1540,吉仁里,"11-15鄰"
1541,敦化里,"1,3-8,15鄰"
1542,敦化里,"2,9-13,22-23鄰"
1543,敦化里,"14,17-21,29-30鄰"
1544,敦化里,"16,24-28鄰"
1545,復源里,"1-2,5,11-14鄰"
1546,復源里,"3-4,6-10鄰"
1547,復建里,"1-2,5,7-9鄰"
1548,復建里,"6,10,13-14鄰"
1549,復建里,"3-4,11-12鄰"
1550,復勢里,"1-6鄰"
1551,復勢里,"7-11鄰"
1552,復勢里,"12-15鄰"
1553,復勢里,"16-21鄰"
1554,福成里,"1-5鄰"
1555,福成里,"6-10鄰"
