臺北市 南港區 投開票所,其他,高嘉瑜,李彥秀
南港里_2_3_4_5_6_7,0.3204225352112676,1.0,0.9964788732394366
南港里_1_14_15_17_18_19_20,0.24312896405919662,0.8964059196617337,1.0
南港里_8_9_10_11_12_13,0.2465753424657534,0.8036529680365296,1.0
南港里_16_21_22_23,0.2817204301075269,0.7698924731182796,1.0
中南里_1_2_3_4_5_6_7_8_9_10,0.27384615384615385,1.0,0.8215384615384616
中南里_11_12_13_14_15_16_17,0.19559228650137742,0.8539944903581267,1.0
中南里_18_19_20_21_22_23_24,0.2828282828282828,0.9158249158249159,1.0
三重里_1_2_3_4_5_6_29,0.25934579439252337,0.9392523364485982,1.0
三重里_7_8_9_10_26_27_28,0.3139240506329114,0.7974683544303798,1.0
三重里_11_12_13_15_16_17_18_30_34,0.21768707482993196,0.8072562358276644,1.0
三重里_19_20_21_22_24_25,0.27114967462039047,0.8134490238611713,1.0
三重里_14_23_31_32_33_35,0.20909090909090908,0.8227272727272728,1.0
新富里_1_2_3_4_5,0.22727272727272727,0.8153409090909091,1.0
新富里_6_7_8_9_10_11,0.28065395095367845,0.9073569482288828,1.0
新富里_12_13_14_15_16_17,0.25895316804407714,1.0,0.9449035812672176
中研里_1_2_3_4_5_6_7,0.22716627634660422,0.9836065573770492,1.0
中研里_8_9_10_11_12,0.28388746803069054,0.9616368286445013,1.0
中研里_23_24_25_26_27_28,0.29396984924623115,0.9798994974874372,1.0
中研里_29_30_31_32_33_34_35,0.26595744680851063,0.8042553191489362,1.0
中研里_13_14_17_18_19,0.1962809917355372,0.6632231404958677,1.0
中研里_15_16_20_21_22,0.22246696035242292,0.8876651982378855,1.0
九如里_1_2_3_4_5_6,0.18262806236080179,0.8530066815144766,1.0
九如里_7_12_13_14_15_16_17,0.13010590015128592,0.3918305597579425,1.0
九如里_8_9_10_11_25_26_27_28,0.2358974358974359,0.8512820512820513,1.0
九如里_18_19_20_21_22_23_24,0.2202797202797203,0.6136363636363636,1.0
舊莊里_4_5_6_7_12,0.22072072072072071,0.8490990990990991,1.0
舊莊里_22_28_29_30_31_32_33_34_35,0.2583732057416268,0.8588516746411483,1.0
舊莊里_3_14_16_21,0.26052631578947366,0.9,1.0
舊莊里_1_8_23_24_25_26,0.20125786163522014,0.7148846960167715,1.0
舊莊里_2_13_15_17_18_19_20,0.19912472647702406,0.7221006564551422,1.0
舊莊里_9_10_11_27_36,0.20689655172413793,0.9310344827586207,1.0
東新里_1_2_3_4_5,0.18276762402088773,0.9321148825065274,1.0
東新里_6_7_8_9,0.24780701754385964,0.8355263157894737,1.0
東新里_11_12_13_15,0.23848238482384823,0.926829268292683,1.0
東新里_14_16_17_18_23,0.16810344827586207,0.6724137931034483,1.0
